ID,Codice,Prodotto,Data_prod,Mix,Stabilimento,Danno,Data_Fatt,Fattura,Data_rec,Cod_cliente,Stamp,Provincia,Regione,Posa,Area,Linea_Gronda,Altitudine,Coordinate,latitudine,longitudine
Z024023,SL01GW,unicoppo_extra_winter_selezione,2018-05-08,IM4B6,ILCA,Sfaldatura,2018-08-29,VC5893,2023-02-06,180220,R08051,CIERNY_BALOG,SLOVACCHIA,ND,ND,ND,550,"48.4545, 18.8907",48.4545,18.8907
Z029023,SZ01W,tesi_serenissima_winter,2016-10-16,IM4B6,ILCA,Sfaldatura,ND,DDT3749,2023-02-20,ND,ND,PN,FRIULI_VENEZIA_GIULIA,legno,600.0,aperta,24,"45.9661, 12.4982",45.9661,12.4982
Z031023,SZ01W,tesi_serenissima_winter,2017-07-12,ND,ILCA,Sfaldatura,1970-01-01,ND,ND,ND,ND,PN,FRIULI_VENEZIA_GIULIA,ND,ND,ND,24,ND,ND,ND
Z046023,AM01W,teg_maxima_ardesia_winter,2015-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2023-02-01,ND,R05915,TO,PIEMONTE,ND,ND,aperta,220,"44.9746, 7.6722",44.9746,7.6722
Z060023,RU01GW,unicoppo_extra_winter_rosso,2016-10-03,IM4B6,ILCA,Sfaldatura,2016-12-13,DDT4149,2023-04-27,ND,ND,PN,FRIULI_VENEZIA_GIULIA,legno,250.0,aperta,25,"45.9565, 12.4969",45.9565,12.4969
Z066023,AM01W,teg_maxima_ardesia_winter,2014-01-01,ND,ILCA,Sfaldatura,2014-12-19,VI24380,2023-05-25,145070,ND,NO,PIEMONTE,legno,152.7,ND,156,ND,ND,ND
Z079023,PU01GW,unicoppo_extra_winter_ant_possagno,2018-10-16,IM4B6,ILCA,Sfaldatura,2019-03-22,VC6256,ND,180220,PU01GW,BANSKA STIAVNICA,SLOVACCHIA,ND,ND,ND,621,"48.4545, 18.8907",48.4545,18.8907
Z107023,RM01W,teg_maxima_rossa_winter_168,2019-07-16,IM4B6,ILCA,Sfaldatura,2012-07-12,DDT2537,2023-09-06,ND,ND,BL,VENETO,ND,ND,ND,395,"46.1929, 12.4133",46.1929,12.4133
Z113023,RZ01W,tesi_rosse_winter,2016-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2023-09-10,ND,ND,PN,FRIULI_VENEZIA_GIULIA,ND,ND,ND,24,ND,ND,ND
Z125023,SZ01W,tesi_serenissima_winter,2015-04-24,Q21,ILCA,Sfaldatura,2015-02-20,DDT477,2023-11-17,ND,R240415,PN,FRIULI_VENEZIA_GIULIA,calcestruzzo_+_guaina,200.0,aperta,24,"45.9519, 12.6518",45.9519,12.6518
Z144023,SM01W,teg_maxima_serenisswinter_168,2013-01-01,ND,ILCA,Sfaldatura,2013-10-10,DDT3820,2023-11-07,160340,ND,BG,LOMBARDIA,ND,305.0,aperta,365,"45.7615, 9.9825",45.7615,9.9825
Z157023,SZ01W,tesi_serenissima_winter,2014-11-26,Q21,ILCA,Sfaldatura,2015-06-05,ND,2023-08-25,1581ND,ND,KRUSZEWENIA,POLONIA,ND,ND,ND,ND,ND,ND,ND
R2,AU01G,unicoppo_extra_veneto_antico,2011-06-27,M2,ILCA,Sfaldatura,ND,ND,2024-04-22,nan,R230611,BL,VENETO,doppio_listello_incrociato,400.0,aperta,350,"46.35292, 12.52328",46.35292,12.52328
R1,SZ01W,tegole_tesi_winter_serenissima,2016-10-15,IM4B6,ILCA,Sfaldatura,ND,ND,2024-04-22,nan,D151016,BL,VENETO,ND,ND,ND,380,"45.3442, 12.1605",45.3442,12.1605
R3,PRD2CAM,coppo_antica_possagno_dipiù_cam,2020-07-24,V34CAM,MONFENERA,Sfaldatura,2021-10-20,ND,2024-04-09,nan,ND,BL,VENETO,ND,170.0,aperta,444,"46.122799406980675, 12.235009354126438",46.122799406980675,12.235009354126438
R41,PRD2,coppo_antica_possagno,2019-04-01,V16,COE-MONFENERA,Sfaldatura,2006-06-09,ND,2024-08-01,nan,ND,BL,VENETO,legno,200.0,aperta,356,"46.04075657676008, 11.889798539271064",46.04075657676008,11.889798539271064
R42,PRD2,coppo_antica_possagno,ND,ND,ND,ND,ND,ND,ND,nan,ND,BL,VENETO,ND,ND,ND,356,"46.04075657676008, 11.889798539271064",46.04075657676008,11.889798539271064
E3,SZ01W,tesi_serenissima,2018-10-26,IM4B6,ILCA,Sfaldatura,ND,ND,ND,nan,ND,PN,FRIULI_VENEZIA_GIULIA,ND,ND,ND,24,"45.53, 12.43",45.53,12.43
